om p1 p2 p3
10.060 1.79935e-2 5.93623e-4 4.30163e+2
10.080 1.90852e-2 6.32415e-4 4.17429e+2
10.100 2.01900e-2 6.72007e-4 4.05383e+2
10.120 2.13046e-2 7.12284e-4 3.94170e+2
10.140 2.24255e-2 7.53121e-4 3.83912e+2
10.160 2.35492e-2 7.94387e-4 3.74710e+2
10.180 2.46720e-2 8.35943e-4 3.66641e+2
10.200 2.57903e-2 8.77646e-4 3.59753e+2
10.220 2.69003e-2 9.19347e-4 3.54070e+2
10.240 2.79983e-2 9.60891e-4 3.49591e+2
10.260 2.90806e-2 1.00212e-3 3.46288e+2
10.280 3.01435e-2 1.04288e-3 3.44108e+2
10.300 3.11831e-2 1.08300e-3 3.42975e+2
10.320 3.21960e-2 1.12233e-3 3.42794e+2
10.340 3.31786e-2 1.16070e-3 3.43452e+2
10.360 3.41273e-2 1.19795e-3 3.44820e+2
10.380 3.50390e-2 1.23394e-3 3.46757e+2
10.400 3.59102e-2 1.26850e-3 3.49114e+2
10.420 3.67380e-2 1.30148e-3 3.51737e+2
