logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
14.24833 1541593 -0.3539563 -0.0162611 -0.0240955 -0.0798247 -0.2337750
14.27141 1577593 -0.3739893 -0.0144297 -0.0270344 -0.0990974 -0.2334278
14.29449 1614433 -0.3673397 -0.0083742 -0.0310272 -0.1342003 -0.1937380
14.31758 1652133 -0.2552676 0.0014797 -0.0315778 -0.1615879 -0.0635817
14.34066 1690714 -0.1093400 0.0106588 -0.0280905 -0.1670993 0.0751911
14.36374 1730195 0.0160700 0.0128498 -0.0226354 -0.1453010 0.1711567
14.38683 1770599 0.0984496 0.0087119 -0.0147452 -0.0955052 0.1999880
14.40991 1811946 0.1744085 0.0109631 -0.0087737 -0.0712758 0.2434948
14.43300 1854259 0.2925784 0.0144705 -0.0034933 -0.0536423 0.3352436
14.45608 1897559 0.3003157 0.0086367 -0.0013535 -0.0283589 0.3213915
14.47916 1941871 0.2534377 0.0139310 -0.0018673 -0.0441636 0.2855377
14.50225 1987218 0.3364658 0.0071311 0.0028493 -0.0035806 0.3300660
14.52533 2033624 0.3787709 -0.0076633 0.0037698 0.0380077 0.3446568
14.54841 2081113 0.2691657 -0.0157613 0.0033052 0.0559297 0.2256921
14.57150 2129711 0.1256166 -0.0126077 0.0094764 0.0789016 0.0498462
14.59458 2179444 0.1344655 -0.0032055 0.0175280 0.0956544 0.0244886
14.61766 2230339 0.1144312 0.0028447 0.0244112 0.1149450 -0.0277697
14.64075 2282422 0.1993236 0.0053567 0.0353862 0.1635397 -0.0049590
14.66383 2335721 0.2507066 0.0061614 0.0402782 0.1859879 0.0182791
14.68691 2390265 0.3610349 0.0092850 0.0351620 0.1525983 0.1639896
